entry_time,exit_time,direction,pnl,duration_bars,zscore
2025-11-03 11:35:00+05:30,2025-11-03 11:40:00+05:30,LONG,-10.100000000002183,1,-0.2704439407050134
2025-11-03 13:35:00+05:30,2025-11-03 13:40:00+05:30,LONG,2.4500000000007276,1,-0.015052635750180872
2025-11-03 13:45:00+05:30,2025-11-03 13:50:00+05:30,LONG,5.299999999999272,1,0.042944592865016916
2025-11-03 13:55:00+05:30,2025-11-03 14:05:00+05:30,LONG,-9.099999999998545,2,-0.2500940359276666
2025-11-03 14:15:00+05:30,2025-11-03 14:20:00+05:30,LONG,10.25,1,0.14367662151253197
2025-11-03 14:35:00+05:30,2025-11-03 14:50:00+05:30,LONG,-19.80000000000291,3,-0.4678380170445741
2025-11-07 11:35:00+05:30,2025-11-07 13:05:00+05:30,LONG,39.0,18,0.7287363838591241
2025-11-07 13:15:00+05:30,2025-11-07 13:20:00+05:30,LONG,-1.0499999999992724,1,-0.08627730247063557
2025-11-07 13:30:00+05:30,2025-11-07 13:35:00+05:30,LONG,2.0,1,-0.02421009289996843
2025-11-07 13:45:00+05:30,2025-11-07 14:00:00+05:30,LONG,-62.44999999999709,3,-1.3357614557951394
2025-11-10 09:50:00+05:30,2025-11-10 12:30:00+05:30,LONG,41.099999999998545,32,0.7714711838913674
2025-11-10 13:15:00+05:30,2025-11-10 13:25:00+05:30,LONG,3.7999999999992724,2,0.012419735699107757
2025-11-12 09:45:00+05:30,2025-11-12 09:50:00+05:30,LONG,0.7999999999992724,1,-0.04862997863271056
2025-11-12 10:30:00+05:30,2025-11-12 10:35:00+05:30,LONG,7.200000000000728,1,0.0816094119418648
2025-12-08 10:00:00+05:30,2025-12-08 10:05:00+05:30,SHORT,-11.349999999998545,1,-0.2958813216765303
2025-12-09 09:25:00+05:30,2025-12-09 09:50:00+05:30,SHORT,68.54999999999927,5,1.3300760700275198
2025-12-09 10:35:00+05:30,2025-12-09 11:10:00+05:30,SHORT,-52.150000000001455,7,-1.1261574365893188
2025-12-09 11:20:00+05:30,2025-12-09 12:25:00+05:30,LONG,46.95000000000073,13,0.8905181268384575
2025-12-09 12:45:00+05:30,2025-12-09 12:55:00+05:30,LONG,-24.30000000000291,2,-0.5594125885423016
2025-12-09 13:00:00+05:30,2025-12-09 13:15:00+05:30,LONG,0.1500000000014552,3,-0.061857416737893446
2025-12-09 14:30:00+05:30,2025-12-09 14:45:00+05:30,SHORT,-2.599999999998545,3,-0.11781965487539356
2025-12-10 11:05:00+05:30,2025-12-10 11:50:00+05:30,SHORT,37.35000000000218,9,0.6951590409766685
2025-12-10 14:15:00+05:30,2025-12-10 14:30:00+05:30,SHORT,-31.849999999998545,3,-0.7130543696106222
2025-12-10 14:35:00+05:30,2025-12-10 14:40:00+05:30,SHORT,12.350000000002183,1,0.1864114215448492
2025-12-11 09:45:00+05:30,2025-12-11 09:55:00+05:30,SHORT,23.799999999999272,2,0.41941783124456317
2025-12-15 09:30:00+05:30,2025-12-15 09:45:00+05:30,SHORT,-22.950000000000728,3,-0.5319402170929389
2025-12-15 11:50:00+05:30,2025-12-15 11:55:00+05:30,LONG,8.549999999999272,1,0.10908178339115344
2025-12-16 09:25:00+05:30,2025-12-16 09:50:00+05:30,SHORT,-18.900000000001455,5,-0.449523102744999
2025-12-16 11:45:00+05:30,2025-12-16 11:50:00+05:30,SHORT,-12.549999999999272,1,-0.3203012074092725
2025-12-17 09:20:00+05:30,2025-12-17 09:40:00+05:30,LONG,-39.5,4,-0.8687311411567885
2025-12-17 09:45:00+05:30,2025-12-17 09:50:00+05:30,LONG,2.349999999998545,1,-0.017087626227952568
2025-12-17 11:45:00+05:30,2025-12-17 12:55:00+05:30,LONG,-62.349999999998545,14,-1.3337264653174419
2025-12-17 13:05:00+05:30,2025-12-17 13:10:00+05:30,SHORT,2.5,1,-0.01403514051133204
2025-12-17 13:35:00+05:30,2025-12-17 13:55:00+05:30,SHORT,-4.350000000002183,4,-0.15343198823569495
2025-12-17 14:05:00+05:30,2025-12-17 14:15:00+05:30,SHORT,-36.25,2,-0.802593950630652
2025-12-17 15:05:00+05:30,2025-12-17 15:25:00+05:30,LONG,3.849999999998545,4,0.01343723093795659
2025-12-18 09:25:00+05:30,2025-12-18 10:00:00+05:30,SHORT,34.39999999999782,7,0.635126821883625
2025-12-18 10:05:00+05:30,2025-12-18 10:10:00+05:30,SHORT,-16.600000000002183,1,-0.40271832175728645
2025-12-18 10:30:00+05:30,2025-12-18 10:35:00+05:30,LONG,-12.05000000000291,1,-0.3101262550207101
2025-12-18 10:40:00+05:30,2025-12-18 10:45:00+05:30,LONG,-6.400000000001455,1,-0.19514929302908932
2025-12-18 11:35:00+05:30,2025-12-18 11:50:00+05:30,LONG,10.25,3,0.14367662151253197
2025-12-18 12:05:00+05:30,2025-12-18 12:10:00+05:30,LONG,5.299999999999272,1,0.042944592865016916
2025-12-22 11:10:00+05:30,2025-12-22 11:15:00+05:30,LONG,-2.400000000001455,1,-0.11374967391999823
2025-12-22 11:35:00+05:30,2025-12-22 12:50:00+05:30,LONG,16.649999999997817,15,0.2739160120870333
2025-12-22 12:55:00+05:30,2025-12-22 14:25:00+05:30,LONG,17.900000000001455,18,0.2993533930586983
2025-12-22 14:40:00+05:30,2025-12-22 14:50:00+05:30,LONG,1.9000000000014552,2,-0.026245083377666092
2025-12-23 09:55:00+05:30,2025-12-23 10:30:00+05:30,LONG,-6.25,7,-0.19209680731246878
2025-12-23 10:45:00+05:30,2025-12-23 11:40:00+05:30,LONG,-9.950000000000728,11,-0.26739145498839284
2025-12-23 12:00:00+05:30,2025-12-23 12:40:00+05:30,LONG,-11.349999999998545,8,-0.2958813216765303
2025-12-23 12:45:00+05:30,2025-12-23 12:50:00+05:30,SHORT,-0.1500000000014552,1,-0.06796238817113451
2025-12-24 09:25:00+05:30,2025-12-24 09:55:00+05:30,LONG,4.75,6,0.0317521452375317
2025-12-24 10:40:00+05:30,2025-12-24 10:45:00+05:30,LONG,-10.450000000000728,1,-0.27756640737702926
2025-12-24 12:35:00+05:30,2025-12-24 13:25:00+05:30,SHORT,25.349999999998545,10,0.45096018364932117
2025-12-24 13:35:00+05:30,2025-12-24 15:00:00+05:30,SHORT,8.0,17,0.09788933576366822
2025-12-24 15:05:00+05:30,2025-12-24 15:15:00+05:30,SHORT,0.25,2,-0.05982242626019578
2025-12-26 09:20:00+05:30,2025-12-26 10:10:00+05:30,SHORT,40.45000000000073,10,0.7582437457861845
2025-12-26 10:25:00+05:30,2025-12-26 10:30:00+05:30,SHORT,0.9500000000007276,1,-0.045577492916090034
2025-12-26 10:35:00+05:30,2025-12-26 11:05:00+05:30,SHORT,15.0,6,0.24033866920457764
2025-12-26 11:50:00+05:30,2025-12-26 11:55:00+05:30,SHORT,-2.25,1,-0.1106971882033777
2025-12-29 14:35:00+05:30,2025-12-29 15:25:00+05:30,SHORT,-1.7999999999992724,10,-0.10153973105359015
2025-12-30 09:20:00+05:30,2025-12-30 09:55:00+05:30,SHORT,-50.900000000001455,7,-1.1007200556177277
2025-12-30 13:30:00+05:30,2025-12-30 13:50:00+05:30,LONG,23.650000000001455,4,0.4163653455280167
2025-12-30 14:05:00+05:30,2025-12-30 14:10:00+05:30,LONG,5.94999999999709,1,0.0561720309701998
2025-12-30 14:20:00+05:30,2025-12-30 14:25:00+05:30,LONG,-21.0,1,-0.49225790277724224
2025-12-30 14:35:00+05:30,2025-12-30 14:45:00+05:30,LONG,15.450000000000728,2,0.2494961263543652
2025-12-31 10:05:00+05:30,2025-12-31 10:10:00+05:30,LONG,3.7000000000007276,1,0.010384745221410094
2026-01-01 10:10:00+05:30,2026-01-01 10:15:00+05:30,SHORT,19.0,1,0.32173828831366874
2026-01-01 10:20:00+05:30,2026-01-01 11:30:00+05:30,SHORT,-24.5,14,-0.5634825694976969
2026-01-01 13:25:00+05:30,2026-01-01 13:30:00+05:30,LONG,-7.850000000002183,1,-0.22465665495614964
2026-01-01 13:35:00+05:30,2026-01-01 13:40:00+05:30,SHORT,-0.75,1,-0.08017233103746856
2026-01-01 13:45:00+05:30,2026-01-01 13:50:00+05:30,SHORT,-11.55000000000291,1,-0.2999513026320737
2026-01-02 09:30:00+05:30,2026-01-02 09:45:00+05:30,LONG,56.14999999999782,3,1.0777372507893077
2026-01-05 09:45:00+05:30,2026-01-05 10:40:00+05:30,SHORT,-49.45000000000073,11,-1.0712126936906674
2026-01-05 11:45:00+05:30,2026-01-05 12:25:00+05:30,SHORT,3.5499999999992724,8,0.007332259504789564
2026-01-05 14:50:00+05:30,2026-01-05 15:10:00+05:30,LONG,-24.25,4,-0.5583950933033788
2026-01-06 09:55:00+05:30,2026-01-06 10:25:00+05:30,LONG,-32.70000000000073,6,-0.7303517886713485
2026-01-06 14:45:00+05:30,2026-01-06 15:20:00+05:30,LONG,18.049999999999272,7,0.3024058787752448
2026-01-07 09:15:00+05:30,2026-01-07 10:30:00+05:30,SHORT,-5.799999999999272,15,-0.18293935016268123
2026-01-07 10:50:00+05:30,2026-01-07 13:40:00+05:30,LONG,-89.75,34,-1.8913138562147453
2026-01-07 13:45:00+05:30,2026-01-07 13:55:00+05:30,SHORT,-9.599999999998545,2,-0.26026898831630296
2026-01-08 09:30:00+05:30,2026-01-08 14:00:00+05:30,SHORT,132.60000000000218,54,2.6334874710119003
2026-01-08 14:10:00+05:30,2026-01-08 14:15:00+05:30,LONG,8.75,1,0.1131517643466228
2026-01-08 15:05:00+05:30,2026-01-09 09:20:00+05:30,SHORT,9.5,6,0.12841419292957737
2026-01-09 13:45:00+05:30,2026-01-09 13:50:00+05:30,SHORT,9.849999999998545,1,0.13553665960159322
2026-01-09 13:55:00+05:30,2026-01-09 14:00:00+05:30,SHORT,1.25,1,-0.039472521482923004
2026-01-09 14:05:00+05:30,2026-01-09 14:35:00+05:30,SHORT,27.5,6,0.49471247892048725
2026-01-09 14:40:00+05:30,2026-01-09 14:45:00+05:30,SHORT,-12.650000000001455,1,-0.32233619788704415
2026-01-12 09:20:00+05:30,2026-01-12 12:40:00+05:30,SHORT,-163.25,40,-3.3870318573442937
2026-01-12 12:45:00+05:30,2026-01-12 12:50:00+05:30,LONG,15.900000000001455,1,0.25865358350415274
2026-01-12 12:55:00+05:30,2026-01-14 12:50:00+05:30,LONG,38.79999999999927,149,0.7246664029036548
2026-01-14 14:45:00+05:30,2026-01-14 15:00:00+05:30,LONG,-11.5,3,-0.29893380739315084
2026-01-16 10:50:00+05:30,2026-01-16 10:55:00+05:30,LONG,-8.349999999998545,1,-0.234831607344712
2026-01-16 11:05:00+05:30,2026-01-16 14:45:00+05:30,LONG,-125.39999999999782,44,-2.616787961524475
2026-01-16 15:15:00+05:30,2026-01-16 15:20:00+05:30,SHORT,-5.950000000000728,1,-0.18599183587930176
